ticker,percent,price,name
LKOH,16.19,6964,ЛУКОЙЛ
SBER,12.1,257.19,Сбербанк
GAZP,11.77,135.62,ГАЗПРОМ ао
TATN,6.09,596,Татнфт 3ао
YDEX,4.16,3971.5,ЯНДЕКС
GMKN,3.74,104.24,ГМКНорНик
TCSG,3.7,2567.5,ТКСХолд ао
NVTK,3.37,958.2,Новатэк ао
PLZL,3.0,13627.5,Полюс
SNGSP,2.91,56.545,Сургнфгз-п
SNGS,2.87,25.06,Сургнфгз
SBERP,2.33,257.15,Сбербанк-п
ROSN,2.08,487.7,Роснефть
CHMF,1.68,1194.2,СевСт-ао
IRAO,1.42,3.8795,ИнтерРАОао
PIKK,1.3,637.9,ПИК ао
RUAL,1.21,34.48,РУСАЛ ао
NLMK,1.21,130.96,НЛМК ао
TATNP,1.13,594.5,Татнфт 3ап
MOEX,1.11,205.14,МосБиржа
MGNT,1.01,4860,Магнит ао
MAGN,1.0,40.535,ММК
ALRS,0.95,52.19,АЛРОСА ао
MTSS,0.92,204.4,МТС-ао
RTKM,0.88,71.8,Ростел -ао
AFLT,0.84,57.56,Аэрофлот
VTBR,0.71,84.81,ВТБ ао
PHOR,0.67,5408,ФосАгро ао
POSI,0.66,2606.2,iПозитив
CBOM,0.61,6.37,МКБ ао
TRNFP,0.57,1354.5,Транснф ап
VKCO,0.54,343.2,"МКПАО ""ВК"""
AFKS,0.53,15.174,Система ао
BSPB,0.5,362.3,БСП ао
FLOT,0.49,100.45,Совкомфлот
FEES,0.35,0.0827,Россети
ENPG,0.33,336.3,ЭН+ГРУП ао
ASTR,0.31,538.3,Астра ао
MSNG,0.28,2.366,+МосЭнерго
UPRO,0.25,1.706,Юнипро ао
SELG,0.24,51.76,Селигдар
MTLR,0.22,109.61,Мечел ао
HYDR,0.19,0.5203,РусГидро
LEAS,0.19,660.6,Европлан
SMLT,0.17,1848.5,Самолет ао
MTLRP,0.13,109.7,Мечел ап
